"Country","Year","Rank","Total","C1: Security Apparatus","C2: Factionalized Elites","C3: Group Grievance","E1: Economy","E2: Economic Inequality","E3: Human Flight and Brain Drain","P1: State Legitimacy","P2: Public Services","P3: Human Rights","S1: Demographic Pressures","S2: Refugees and IDPs","X1: External Intervention","Education(Mean years of schooling","Health(Current health expenditure (% of GDP)","Unemployment","Population growth","Corruption","Human Development Index","Fragile State Index"
"South Sudan","2017","1st","141.8","10","9.7","9.7","10","8.9","6.4","10","10","9.5","9.9","10","9.8","4.8","9.8","8.4","0.7","3.78","0.4","Alert"
"Somalia","2017","2nd","140.4","9.4","10","8.9","8.9","9.3","9.8","9.3","9","9.5","10","10","9.3","5.6","8.9","7.1","2.8","2.26","0.3","Alert"
"Afghanistan","2017","9th","138.5","10","8.6","8.4","8.3","7.5","8.2","9.1","9.9","8.5","9.3","9.8","9.7","3.8","11.8","11.2","2.5","1.39","0.5","Alert"
"Haiti","2017","11th","137.5","7.7","9.6","6.5","8.7","9.8","8.8","9.7","9.7","7.6","9.5","7.7","10","5.4","8","13.7","2.5","2.05","0.5","Alert"
"Syria","2017","5th","136.8","9.8","9.9","9.8","8.1","7.7","8.4","9.9","9.2","9.8","8.2","9.8","10","5.1","3","15.4","1","1.4","0.3","Alert"
"Iraq","2017","10th","135.2","10","9.6","9.6","6.6","7.3","7.7","9.5","8.2","8.7","8.6","9.9","9.7","7","4.2","13","2.5","2.47","0.6","Alert"
"North Korea","2017","30th","134.1","8.3","8.5","5.8","8.9","7.5","4.4","10","8.6","9.4","7.7","4.4","9.8","9.7","6.1","22.4","0.1","1.83","0.7","Alert"
"Libya","2017","23rd","132.8","9.6","9.4","8.1","8.5","5.6","6.3","9.5","7","9.1","4.9","8.3","10","7.6","6.2","18.6","0.4","3.05","0.6","Alert"
"Central African Republic","2017","3rd","131.3","9","9.7","9.1","9.1","10","7.5","9.7","10","9.7","9","10","9.8","4.3","5.8","3.7","1.3","3.28","0.3","Alert"
"Sudan","2017","5th","128.4","9","9.7","10","8.5","7.4","8.9","9.8","8.9","9.6","9.3","9.8","9.7","3.7","6.3","0.8","2.4","4.08","0.5","Alert"
"Lesotho","2017","62nd","128","6.2","7.3","3.9","8.1","8.1","8","5.9","8.1","5","8.5","4.8","7.8","6.3","8.8","24.1","2.5","4.08","0.5","Alert"
"Zimbabwe","2017","13th","127.8","8.1","9.8","7.3","8.6","8.5","7.9","9.2","8.9","8.2","9.1","8.5","7.5","8.3","6.6","7.6","1.5","1.85","0.4","Alert"
"Congo Democratic Republic","2017","7th","127.5","9","9.8","10","8.4","8.4","6.6","9.6","9.5","9.8","9.4","10","9.5","6.5","2.9","4.3","2.3","1.08","0.4","Alert"
"Yemen","2017","4th","127.2","9.8","9.5","9.3","9.3","8.2","7.3","9.7","9.6","9.7","9.3","9.4","10","3","4.2","4.2","2.4","1.6","0.7","Alert"
"Nigeria","2017","13th","125.3","9.2","9.6","9.2","8","8.6","7.2","8.6","9.2","8.9","9.1","7.5","6.5","6.4","3.8","8.4","2.6","1.97","0.5","Alert"
"Chad","2017","8th","124.7","9.4","9.8","8","8.5","9.1","8.8","9.1","9.7","9.1","10","9.6","8.3","2.4","4.5","1.8","3.1","2.73","0.8","Alert"
"Mauritania","2017","28th","124.7","6.9","8.8","7","7.7","6.8","6.9","8","9","7.9","8.7","8","8","11.3","4.4","9.6","2.8","2.41","0.5","Alert"
