"Country","Year","Rank","Total","C1: Security Apparatus","C2: Factionalized Elites","C3: Group Grievance","E1: Economy","E2: Economic Inequality","E3: Human Flight and Brain Drain","P1: State Legitimacy","P2: Public Services","P3: Human Rights","S1: Demographic Pressures","S2: Refugees and IDPs","X1: External Intervention","Fragile State Index"
"South Sudan","2017","1st","113.9","10","9.7","9.7","10","8.9","6.4","10","10","9.5","9.9","10","9.8","Alert"
"Somalia","2017","2nd","113.4","9.4","10","8.9","8.9","9.3","9.8","9.3","9","9.5","10","10","9.3","Alert"
"Central African Republic","2017","3rd","112.6","9","9.7","9.1","9.1","10","7.5","9.7","10","9.7","9","10","9.8","Alert"
"Yemen","2017","4th","111.1","9.8","9.5","9.3","9.3","8.2","7.3","9.7","9.6","9.7","9.3","9.4","10","Alert"
"Sudan","2017","5th","110.6","9","9.7","10","8.5","7.4","8.9","9.8","8.9","9.6","9.3","9.8","9.7","Alert"
"Syria","2017","5th","110.6","9.8","9.9","9.8","8.1","7.7","8.4","9.9","9.2","9.8","8.2","9.8","10","Alert"
"Congo Democratic Republic","2017","7th","110","9","9.8","10","8.4","8.4","6.6","9.6","9.5","9.8","9.4","10","9.5","Alert"
"Chad","2017","8th","109.4","9.4","9.8","8","8.5","9.1","8.8","9.1","9.7","9.1","10","9.6","8.3","Alert"
"Afghanistan","2017","9th","107.3","10","8.6","8.4","8.3","7.5","8.2","9.1","9.9","8.5","9.3","9.8","9.7","Alert"
"Iraq","2017","10th","105.4","10","9.6","9.6","6.6","7.3","7.7","9.5","8.2","8.7","8.6","9.9","9.7","Alert"
"Haiti","2017","11th","105.3","7.7","9.6","6.5","8.7","9.8","8.8","9.7","9.7","7.6","9.5","7.7","10","Alert"
"Guinea","2017","12th","102.4","8.8","9.6","8.6","9.2","7.7","7.4","9.6","9.5","7.7","8.7","8.2","7.4","Alert"
"Nigeria","2017","13th","101.6","9.2","9.6","9.2","8","8.6","7.2","8.6","9.2","8.9","9.1","7.5","6.5","Alert"
"Zimbabwe","2017","13th","101.6","8.1","9.8","7.3","8.6","8.5","7.9","9.2","8.9","8.2","9.1","8.5","7.5","Alert"
"Ethiopia","2017","15th","101.1","8.4","8.7","9.1","7","6.5","7.6","8.2","8.8","9","9.8","9.3","8.7","Alert"
"Guinea Bissau","2017","16th","99.5","8.9","9.6","5.2","8.3","9.1","8.1","9.2","9.4","7.5","8.6","7.3","8.3","Alert"
"Burundi","2017","17th","98.9","8.8","8.2","7.9","8","7.2","6.3","8.8","8","8.8","9.3","8.6","9","Alert"
"Pakistan","2017","17th","98.9","9.1","8.9","10","6.9","6.5","7.2","8.1","7.7","8","8.4","8.7","9.4","Alert"
"Eritrea","2017","19th","98.1","7.2","8.1","7.1","8.1","7.8","8.3","9.3","8.4","9","8.8","8.3","7.7","Alert"
"Niger","2017","20th","97.4","8.7","8.9","8","7.5","8.5","7.5","7.3","9.5","6.5","9","7.9","8.1","Alert"
"Cote d'Ivoire","2017","21st","96.5","7.7","9.1","8.1","6.6","8","7.3","7.9","8.7","7.9","8.2","7.8","9.2","Alert"
"Kenya","2017","22nd","96.4","8.3","8.9","8.9","6.9","7.9","7.6","7.6","8","7","8.9","8.3","8.1","Alert"
"Libya","2017","23rd","96.3","9.6","9.4","8.1","8.5","5.6","6.3","9.5","7","9.1","4.9","8.3","10","Alert"
"Uganda","2017","24th","96","7.1","8.6","8.5","5.5","7.4","7.6","8.6","8.3","7.8","9","9.3","8.3","Alert"
"Myanmar","2017","35th","95.7","8.9","8.3","9.7","5.9","7.7","6.4","8.6","8.5","8.9","6.8","8.7","7.3","Alert"
"Cameroon","2017","26th","95.6","7.9","9.1","8.3","6.6","7.6","7.6","8.4","8.7","7.5","8.1","8","7.8","Alert"
"Liberia","2017","27th","93.8","6.4","8.3","5.8","8.1","8.4","7.2","6.8","9.3","6.5","9","8.7","9.3","Alert"
"Mauritania","2017","28th","93.7","6.9","8.8","7","7.7","6.8","6.9","8","9","7.9","8.7","8","8","Alert"
"Congo Republic","2017","29th","93.4","7.2","6.7","7.2","7","8.1","7.4","8.9","9.5","8.5","8.1","7.7","7.1","Alert"
"North Korea","2017","30th","93.3","8.3","8.5","5.8","8.9","7.5","4.4","10","8.6","9.4","7.7","4.4","9.8","Alert"
"Mali","2017","31st","92.9","9","4.9","7.4","7.7","7.4","8.5","6.1","8.8","7.3","8.5","7.9","9.4","Alert"
"Angola","2017","32nd","91.1","6.5","7.2","7.5","6.4","9.9","6.6","8.6","9.1","7.3","9.5","7.1","5.4","Alert"
"Nepal","2017","33rd","91","6.5","8.8","9.4","7.5","6.7","6.5","7.4","7.2","7.7","8.6","7.8","6.9","Alert"
"Rwanda","2017","34th","90.8","6.2","8","9.4","6","8.3","7.4","7.1","7.4","7.2","8","8.3","7.5","Alert"
"Timor-Leste","2017","35th","90.5","7.2","8.3","6.5","7.9","6.8","7.6","6.9","8.5","5.3","9.7","6.3","9.5","Alert"
"Egypt","2017","36th","89.8","8.1","8.8","8.8","8.2","6","4.7","8.2","4.9","9.8","7.1","7.3","7.9","Warning"
"Gambia","2017","37th","89.4","6.3","7.8","3.8","8.4","6.9","8.3","8.6","7.8","9.4","8.3","6.8","7","Warning"
"Sierra Leone","2017","38th","89.3","4.3","7.8","6.2","8.6","8.3","8.5","6.9","8.8","5.3","9","7.7","7.9","Warning"
"Bangladesh","2017","39th","89.1","7.6","9.3","8.7","5.8","6.7","7.8","7.8","8.1","7.4","7.5","6.6","5.8","Warning"
"Mozambique","2017","40th","89","6.7","6.6","5.4","8","8.8","8","6.5","9.7","5.6","9.9","5.8","8","Warning"
"Djibouti","2017","41st","88.9","6.5","7.3","6.5","7","7.9","5.4","8.2","7.9","7.8","8.4","7.3","8.7","Warning"
"Swaziland","2017","42nd","88.8","6.3","6.8","3.4","9.7","8.2","7.2","8.8","8.1","9.1","9.4","4.7","7.1","Warning"
"Lebanon","2017","43rd","88.2","8.7","9.3","8.5","6.4","5.6","5","7.6","5.7","7.4","5.6","9.3","9.1","Warning"
"Burkina Faso","2017","44th","88","8.4","7.8","4.5","6.3","8.2","7.5","7.1","8.7","6.1","9.3","6.6","7.5","Warning"
"Malawi","2017","44th","88","4.8","8.1","5.6","8.4","8.3","7.9","6.4","8.6","6.2","9.7","5.8","8.2","Warning"
"Zambia","2017","46th","87.8","4.6","6.2","5.9","7.9","9.2","7.9","7.7","7.9","7.4","9.5","6.4","7.2","Warning"
"Sri Lanka","2017","47th","86.6","7.4","8.8","9","5.4","7.1","7.7","6.9","5.1","8.3","6.2","8.4","6.3","Warning"
"Papua New Guinea","2017","48th","86.4","7.2","7.1","6.3","6.1","9.1","7.4","6.8","9","7.6","7.8","5.2","6.8","Warning"
"Iran","2017","49th","85.8","7.5","9.6","9.3","6.4","5.6","6.5","9","4.5","9.5","4.9","6.5","6.5","Warning"
"Cambodia","2017","50th","85.7","6.7","8.3","6.9","5.7","6.6","7.6","8.3","7.8","7.7","7","5.7","7.4","Warning"
"Equatorial Guinea","2017","51st","85","6.5","8.2","6.3","6.5","8.7","5.5","9.8","7.9","9.2","7.5","3.9","5","Warning"
"Comoros","2017","52nd","84.8","6.7","8","5.4","8","7.5","7.4","7.3","8.2","6.3","7.3","4.7","8","Warning"
"Solomon Islands","2017","52nd","84.8","5.9","8.2","6.5","7.1","9","6.9","6.8","7.7","5.2","8.5","4.4","8.6","Warning"
"Philippines","2017","54th","84.4","9.7","8","7.9","5.5","5.7","6.5","7","6.7","6.6","7.5","6.9","6.4","Warning"
"Madagascar","2017","55th","84","7.1","7.8","4.1","7.6","9.1","6.7","7.1","9.1","5.6","9.1","3.9","6.8","Warning"
"Togo","2017","56th","83.9","6.5","7.6","4.6","6.4","8.2","7.5","7.8","8.2","6.7","7.8","6.6","6","Warning"
"Guatemala","2017","57th","83.1","7.6","7.1","8.5","5.5","8.1","7.3","6.5","7.5","7.2","7","5.6","5.2","Warning"
"Venezuela","2017","58th","82.9","7.3","8.2","7.2","7.3","6.7","5.5","8.5","7.7","8.9","5.6","4.6","5.4","Warning"
