Task name: Group 14
Task description: -

Date of output: 23.2.2022

Survey of antecedent attributes

	Group	Name	Description
	Default Partial Cedent	Country (subset), 1 - 1	-
	Default Partial Cedent	Rank_ (subset), 1 - 1	-
	Default Partial Cedent	Year_ (subset), 1 - 1	-

Survey of variable antecedent attributes

	Group	Name	Description
	Default Partial Cedent	Education_Mean_years_of_schooling (subset), 1 - 1	-
	Default Partial Cedent	Unemployment (subset), 1 - 1	-

Survey of succedent attributes

	Group	Name	Description

Survey of variable sukcedent attributes

	Group	Name	Description
	Default Partial Cedent	Fragile_State_Index( Alert -> Warning)	-

Survey of Action4ft-Quantifiers
	a-frequency	Before >= 2.00 Absolute number
	a-frequency	After >= 2.00 Absolute number

Task parameters
	The comparison of the first set versus the second set
	Sets must differ in all rows (i.e. not overlapping sets)

Nr.	Hypothesis	D%-Sum	Df-Conf	Df-AFUI	Df-FUE	Df-Avg	R-Conf	R-DFUI	R-FUE	R-Avg	H-Conf	H-DFUI	H-FUE	H-Avg	B:a	B:b	B:c	B:d	B:r	B:n	B:Conf	B:DConf	B:EConf	B:Supp	B:Cmplt	B:AvgDf	B:Lift	B:LBound	B:UBound	B:ELBound	B:EUBound	B:DLBound	B:DUBound	B:Fisher	B:Chi-Sq	B:PSep	B:bMean	B:bVAR	B:bStDev	B:P(>=90%)	B:P(>=95%)	A:a	A:b	A:c	A:d	A:r	A:n	A:Conf	A:DConf	A:EConf	A:Supp	A:Cmplt	A:AvgDf	A:Lift	A:LBound	A:UBound	A:ELBound	A:EUBound	A:DLBound	A:DUBound	A:Fisher	A:Chi-Sq	A:PSep	A:bMean	A:bVAR	A:bStDev	A:P(>=90%)	A:P(>=95%)	
329	Year_(2017) :  (Unemployment(1.6)  ->  Unemployment(4.2)) >÷< (Fragile_State_Index(Alert)  ->  Fragile_State_Index(Warning))	0.86	0.7142857143	-0.0241496599	-0.3988764045	0.3274891775	3.5	0.4083333333	0.4580152672	3.1013888889	3.5	2.4489795918	2.1833333333	3.1013888889	2	0	118	58	2	178	1	0.0166666667	0.3370786517	0.0112359551	0.0166666667	0.4833333333	1.4833333333	0.81	1	1	0	1	0	0.4532470006	0.9776515152	58	0.75	0.75	0.1936491673	0.271	0.1426250001	2	5	42	129	7	178	0.2857142857	0.0408163265	0.7359550562	0.0112359551	0.0454545455	0.1558441558	1.1558441558	0.9999936	0.0001765	0.9999999999	0	1	0	0.5515093075	0.0581099968	22.5	0.3333333333	0.3333333333	0.1490711985	0.0000234101	0.0000004008	
320	Year_(2017) :  (Unemployment(1.7)  ->  Unemployment(4.2)) >÷< (Fragile_State_Index(Alert)  ->  Fragile_State_Index(Warning))	0.86	0.7142857143	-0.0241496599	-0.3988764045	0.3274891775	3.5	0.4083333333	0.4580152672	3.1013888889	3.5	2.4489795918	2.1833333333	3.1013888889	2	0	118	58	2	178	1	0.0166666667	0.3370786517	0.0112359551	0.0166666667	0.4833333333	1.4833333333	0.81	1	1	0	1	0	0.4532470006	0.9776515152	58	0.75	0.75	0.1936491673	0.271	0.1426250001	2	5	42	129	7	178	0.2857142857	0.0408163265	0.7359550562	0.0112359551	0.0454545455	0.1558441558	1.1558441558	0.9999936	0.0001765	0.9999999999	0	1	0	0.5515093075	0.0581099968	22.5	0.3333333333	0.3333333333	0.1490711985	0.0000234101	0.0000004008	
203	Year_(2017) :  (Unemployment(1.8)  ->  Unemployment(4.2)) >÷< (Fragile_State_Index(Alert)  ->  Fragile_State_Index(Warning))	0.86	0.7142857143	-0.0158163265	-0.393258427	0.3274891775	3.5	0.6125	0.465648855	3.1013888889	3.5	1.6326530612	2.1475409836	3.1013888889	3	0	117	58	3	178	1	0.025	0.3426966292	0.0168539326	0.025	0.4833333333	1.4833333333	0.729	1	1	0	1	0	0.3038815117	1.4748571429	38	0.8	0.8	0.1632993162	0.3439000019	0.1854937502	2	5	42	129	7	178	0.2857142857	0.0408163265	0.7359550562	0.0112359551	0.0454545455	0.1558441558	1.1558441558	0.9999936	0.0001765	0.9999999999	0	1	0	0.5515093075	0.0581099968	22.5	0.3333333333	0.3333333333	0.1490711985	0.0000234101	0.0000004008	
34	Year_(2017) :  (Unemployment(2.5)  ->  Unemployment(4.2)) >÷< (Fragile_State_Index(Alert)  ->  Fragile_State_Index(Warning))	0.86	0.7142857143	0.0008503401	-0.3820224719	0.3274891775	3.5	1.0208333333	0.4809160305	3.1013888889	3.5	1.0208333333	2.0793650794	3.1013888889	5	0	115	58	5	178	1	0.0416666667	0.3539325843	0.0280898876	0.0416666667	0.4833333333	1.4833333333	0.59049	1	1	0	1	0	0.1354443309	2.4865125241	22	0.8571428571	0.8571428571	0.1237179148	0.4685590086	0.2649081105	2	5	42	129	7	178	0.2857142857	0.0408163265	0.7359550562	0.0112359551	0.0454545455	0.1558441558	1.1558441558	0.9999936	0.0001765	0.9999999999	0	1	0	0.5515093075	0.0581099968	22.5	0.3333333333	0.3333333333	0.1490711985	0.0000234101	0.0000004008	
185	Year_(2017) :  (Unemployment(3.3)  ->  Unemployment(4.2)) >÷< (Fragile_State_Index(Alert)  ->  Fragile_State_Index(Warning))	0.86	0.7142857143	-0.0158163265	-0.393258427	0.3274891775	3.5	0.6125	0.465648855	3.1013888889	3.5	1.6326530612	2.1475409836	3.1013888889	3	0	117	58	3	178	1	0.025	0.3426966292	0.0168539326	0.025	0.4833333333	1.4833333333	0.729	1	1	0	1	0	0.3038815117	1.4748571429	38	0.8	0.8	0.1632993162	0.3439000019	0.1854937502	2	5	42	129	7	178	0.2857142857	0.0408163265	0.7359550562	0.0112359551	0.0454545455	0.1558441558	1.1558441558	0.9999936	0.0001765	0.9999999999	0	1	0	0.5515093075	0.0581099968	22.5	0.3333333333	0.3333333333	0.1490711985	0.0000234101	0.0000004008	
9	Year_(2017) :  (Unemployment(4.4)  ->  Unemployment(4.2)) >÷< (Fragile_State_Index(Alert)  ->  Fragile_State_Index(Warning))	0.85	0.7142857143	0.0091836735	-0.3764044944	0.3274891775	3.5	1.225	0.4885496183	3.1013888889	3.5	1.225	2.046875	3.1013888889	6	0	114	58	6	178	1	0.05	0.3595505618	0.0337078652	0.05	0.4833333333	1.4833333333	0.531441	1	1	0	1	0	0.0900352489	3.0011627907	18	0.875	0.875	0.110239638	0.5217031143	0.3016627059	2	5	42	129	7	178	0.2857142857	0.0408163265	0.7359550562	0.0112359551	0.0454545455	0.1558441558	1.1558441558	0.9999936	0.0001765	0.9999999999	0	1	0	0.5515093075	0.0581099968	22.5	0.3333333333	0.3333333333	0.1490711985	0.0000234101	0.0000004008	
311	Year_(2017) :  (Unemployment(4.6)  ->  Unemployment(4.2)) >÷< (Fragile_State_Index(Alert)  ->  Fragile_State_Index(Warning))	0.86	0.7142857143	-0.0241496599	-0.3988764045	0.3274891775	3.5	0.4083333333	0.4580152672	3.1013888889	3.5	2.4489795918	2.1833333333	3.1013888889	2	0	118	58	2	178	1	0.0166666667	0.3370786517	0.0112359551	0.0166666667	0.4833333333	1.4833333333	0.81	1	1	0	1	0	0.4532470006	0.9776515152	58	0.75	0.75	0.1936491673	0.271	0.1426250001	2	5	42	129	7	178	0.2857142857	0.0408163265	0.7359550562	0.0112359551	0.0454545455	0.1558441558	1.1558441558	0.9999936	0.0001765	0.9999999999	0	1	0	0.5515093075	0.0581099968	22.5	0.3333333333	0.3333333333	0.1490711985	0.0000234101	0.0000004008	
302	Year_(2017) :  (Unemployment(6.4)  ->  Unemployment(4.2)) >÷< (Fragile_State_Index(Alert)  ->  Fragile_State_Index(Warning))	0.86	0.7142857143	-0.0241496599	-0.3988764045	0.3274891775	3.5	0.4083333333	0.4580152672	3.1013888889	3.5	2.4489795918	2.1833333333	3.1013888889	2	0	118	58	2	178	1	0.0166666667	0.3370786517	0.0112359551	0.0166666667	0.4833333333	1.4833333333	0.81	1	1	0	1	0	0.4532470006	0.9776515152	58	0.75	0.75	0.1936491673	0.271	0.1426250001	2	5	42	129	7	178	0.2857142857	0.0408163265	0.7359550562	0.0112359551	0.0454545455	0.1558441558	1.1558441558	0.9999936	0.0001765	0.9999999999	0	1	0	0.5515093075	0.0581099968	22.5	0.3333333333	0.3333333333	0.1490711985	0.0000234101	0.0000004008	
293	Year_(2017) :  (Unemployment(7.3)  ->  Unemployment(4.2)) >÷< (Fragile_State_Index(Alert)  ->  Fragile_State_Index(Warning))	0.86	0.7142857143	-0.0241496599	-0.3988764045	0.3274891775	3.5	0.4083333333	0.4580152672	3.1013888889	3.5	2.4489795918	2.1833333333	3.1013888889	2	0	118	58	2	178	1	0.0166666667	0.3370786517	0.0112359551	0.0166666667	0.4833333333	1.4833333333	0.81	1	1	0	1	0	0.4532470006	0.9776515152	58	0.75	0.75	0.1936491673	0.271	0.1426250001	2	5	42	129	7	178	0.2857142857	0.0408163265	0.7359550562	0.0112359551	0.0454545455	0.1558441558	1.1558441558	0.9999936	0.0001765	0.9999999999	0	1	0	0.5515093075	0.0581099968	22.5	0.3333333333	0.3333333333	0.1490711985	0.0000234101	0.0000004008	
61	Year_(2017) :  (Unemployment(8.4)  ->  Unemployment(4.2)) >÷< (Fragile_State_Index(Alert)  ->  Fragile_State_Index(Warning))	0.86	0.7142857143	-0.0074829932	-0.3876404494	0.3274891775	3.5	0.8166666667	0.4732824427	3.1013888889	3.5	1.2244897959	2.1129032258	3.1013888889	4	0	116	58	4	178	1	0.0333333333	0.3483146067	0.0224719101	0.0333333333	0.4833333333	1.4833333333	0.6561	1	1	0	1	0	0.2031664964	1.9777777778	28	0.8333333333	0.8333333333	0.1408590425	0.4095100045	0.2262190631	2	5	42	129	7	178	0.2857142857	0.0408163265	0.7359550562	0.0112359551	0.0454545455	0.1558441558	1.1558441558	0.9999936	0.0001765	0.9999999999	0	1	0	0.5515093075	0.0581099968	22.5	0.3333333333	0.3333333333	0.1490711985	0.0000234101	0.0000004008	
